"Id,R,Nome,Squadra,QuotaIniziale"
"5876,P,Di Gregorio,Juventus,16"
"2428,P,Sommer,Inter,16"
"4312,P,Maignan,Milan,16"
"572,P,Meret,Napoli,16"
"5841,P,Svilar,Roma,15"
"4431,P,Carnesecchi,Atalanta,14"
"2521,P,De Gea,Fiorentina,14"
"2814,P,Provedel,Lazio,12"
"133,P,Skorupski,Bologna,10"
"6966,P,Butez,Como,10"
"188,P,Leali,Genoa,8"
"4360,P,Caprile,Cagliari,7"
"7179,P,Israel,Torino,9"
"2134,P,Falcone,Lecce,6"
"6641,P,Suzuki,Parma,7"
"761,P,Audero,Cremonese,5"
"4867,P,Turati,Sassuolo,7"
"6462,P,Okoye,Udinese,6"
"6842,P,Sava,Udinese,4"
"2170,P,Milinkovic-Savic V.,Napoli,4"
"2861,P,Semper,Pisa,3"
"4957,P,Montipò,Verona,5"
"2722,P,Ravaglia F.,Bologna,3"
"6482,P,Mandas,Lazio,3"
"574,P,Scuffet,Pisa,3"
"4236,P,Muric,Sassuolo,3"
"5116,P,Martinez Jo.,Inter,2"
"2297,P,Rossi F.,Atalanta,1"
"4,P,Sportiello,Atalanta,1"
"7172,P,Pessina Mas.,Bologna,1"
"4929,P,Ciocci,Cagliari,1"
"3,P,Radunovic,Cagliari,1"
"2809,P,Vigorito,Como,1"
"6505,P,Nava,Cremonese,1"
"6184,P,Martinelli T.,Fiorentina,1"
"6991,P,Siegrist,Genoa,1"
"219,P,Sommariva,Genoa,1"
"1926,P,Di Gennaro,Inter,1"
"218,P,Perin,Juventus,1"
"1930,P,Pinsoglio,Juventus,1"
"6417,P,Furlanetto,Lazio,1"
"2401,P,Fruchtl,Lecce,1"
"6523,P,Samooja,Lecce,1"
"2815,P,Terracciano,Milan,1"
"6813,P,Torriani,Milan,1"
"2845,P,Contini,Napoli,1"
"5513,D,Dumfries,Inter,20"
"254,D,Dimarco,Inter,19"
"2160,D,Gosens,Fiorentina,18"
"2120,D,Bastoni,Inter,16"
"4433,D,Zortea,Bologna,16"
"4772,D,Angelino,Roma,15"
"7181,D,Wesley,Roma,14"
"5520,D,Cambiaso,Juventus,14"
"2816,D,Di Lorenzo,Napoli,14"
"4887,D,Bellanova,Atalanta,13"
"554,D,Zappacosta,Atalanta,13"
"2788,D,Bremer,Juventus,13"
